,label,Disease Name,circBase ID
0,0,Gastric cancer,hsa_circ_0072410
1,0,Diabetes retinopathy,hsa_circ_0003159
2,0,Diabetes retinopathy,hsa_circ_0074362
3,0,Diabetes retinopathy,hsa_circ_0001017
4,0,Diabetes retinopathy,hsa_circ_0000181
5,0,Diabetes retinopathy,hsa_circ_0092283
6,0,Diabetes retinopathy,hsa_circ_0138960
7,0,Diabetes retinopathy,hsa_circ_0003707
8,0,Diabetes retinopathy,hsa_circ_0085553
9,0,Diabetes retinopathy,hsa_circ_0031979
10,0,Diabetes retinopathy,hsa_circ_0061274
11,0,Diabetes retinopathy,hsa_circ_0005529
12,0,Gastric cancer,hsa_circ_0026372
13,0,Gastric cancer,hsa_circ_0026388
14,0,Gastric cancer,hsa_circ_0041796
15,0,Diabetes retinopathy,hsa_circ_0032821
16,0,Diabetes retinopathy,hsa_circ_0000144
17,0,Diabetes retinopathy,hsa_circ_0061276
18,0,Rheumatoid arthritis,hsa_circ_0031979
19,0,Rheumatoid arthritis,hsa_circ_0069131
20,0,Rheumatoid arthritis,hsa_circ_0001895
21,0,Rheumatoid arthritis,hsa_circ_0000190
22,0,Rheumatoid arthritis,hsa_circ_0000140
23,0,Rheumatoid arthritis,hsa_circ_0128843
24,0,Rheumatoid arthritis,hsa_circ_0047905
25,0,Rheumatoid arthritis,hsa_circ_0138960
26,0,Rheumatoid arthritis,hsa_circ_0008383
27,0,Rheumatoid arthritis,hsa_circ_0013048
28,0,Rheumatoid arthritis,hsa_circ_0031027
29,0,Rheumatoid arthritis,hsa_circ_0092283
30,0,Rheumatoid arthritis,hsa_circ_0000291
31,0,Rheumatoid arthritis,hsa_circ_0000326
32,0,Rheumatoid arthritis,hsa_circ_0001539
33,0,Rheumatoid arthritis,hsa_circ_0092330
34,0,Rheumatoid arthritis,hsa_circ_0000627
35,0,Tuberculosis,hsa_circ_0003707
36,0,Rheumatoid arthritis,hsa_circ_0000144
37,0,Rheumatoid arthritis,hsa_circ_0032821
38,0,Rheumatoid arthritis,hsa_circ_0005529
39,0,Rheumatoid arthritis,hsa_circ_0061274
40,0,Rheumatoid arthritis,hsa_circ_0005927
41,0,Rheumatoid arthritis,hsa_circ_0092341
42,0,Rheumatoid arthritis,hsa_circ_0001561
43,0,Tuberculosis,hsa_circ_0092341
44,0,Tuberculosis,hsa_circ_0005927
45,0,Tuberculosis,hsa_circ_0061274
46,0,Tuberculosis,hsa_circ_0005529
47,0,Tuberculosis,hsa_circ_0000144
48,0,Tuberculosis,hsa_circ_0001561
49,0,Tuberculosis,hsa_circ_0092330
50,0,Rheumatoid arthritis,hsa_circ_0006022
51,0,Tuberculosis,hsa_circ_0000181
52,0,Tuberculosis,hsa_circ_0000745
53,0,Tuberculosis,hsa_circ_0006127
54,0,Tuberculosis,hsa_circ_0000026
55,0,Tuberculosis,hsa_circ_0076304
56,0,Tuberculosis,hsa_circ_0035431
57,0,Tuberculosis,hsa_circ_0076305
58,0,Gastric cancer,hsa_circ_0083964
59,0,Tuberculosis,hsa_circ_0006633
60,0,Tuberculosis,hsa_circ_0058246
61,0,Tuberculosis,hsa_circ_0000190
62,0,Tuberculosis,hsa_circ_0001895
63,0,Tuberculosis,hsa_circ_0069131
64,0,Tuberculosis,hsa_circ_0031979
65,0,Tuberculosis,hsa_circ_0006022
66,0,Tuberculosis,hsa_circ_0085553
67,0,Tuberculosis,hsa_circ_0091742
68,0,Tuberculosis,hsa_circ_0000627
69,0,Tuberculosis,hsa_circ_0001539
70,0,Tuberculosis,hsa_circ_0000326
71,0,Tuberculosis,hsa_circ_0000291
72,0,Tuberculosis,hsa_circ_0092283
73,0,Tuberculosis,hsa_circ_0031027
74,0,Tuberculosis,hsa_circ_0013048
75,0,Tuberculosis,hsa_circ_0008383
76,0,Tuberculosis,hsa_circ_0003159
77,0,Tuberculosis,hsa_circ_0138960
78,0,Tuberculosis,hsa_circ_0047905
79,0,Tuberculosis,hsa_circ_0128843
80,0,Tuberculosis,hsa_circ_0000140
81,0,Tuberculosis,hsa_circ_0074362
82,0,Tuberculosis,hsa_circ_0001017
83,0,Tuberculosis,hsa_circ_0061276
84,0,Rheumatoid arthritis,hsa_circ_0085553
85,0,Tuberculosis,hsa_circ_0089548
86,0,Rheumatoid arthritis,hsa_circ_0076305
87,0,Rheumatoid arthritis,hsa_circ_0035431
88,0,Rheumatoid arthritis,hsa_circ_0003159
89,0,Rheumatoid arthritis,hsa_circ_0058246
90,0,Rheumatoid arthritis,hsa_circ_0061276
91,0,Rheumatoid arthritis,hsa_circ_0076304
92,0,Rheumatoid arthritis,hsa_circ_0000026
93,0,Rheumatoid arthritis,hsa_circ_0000181
94,0,Rheumatoid arthritis,hsa_circ_0001017
95,0,Rheumatoid arthritis,hsa_circ_0074362
96,0,Rheumatoid arthritis,hsa_circ_0091742
97,0,Rheumatoid arthritis,hsa_circ_0006127
98,0,Rheumatoid arthritis,hsa_circ_0003707
99,0,Rheumatoid arthritis,hsa_circ_0089548
100,0,Rheumatoid arthritis,hsa_circ_0006633
101,0,Systemic lupus erythematosus,hsa_circ_0013048
102,0,Systemic lupus erythematosus,hsa_circ_0031027
103,0,Systemic lupus erythematosus,hsa_circ_0092283
104,0,Systemic lupus erythematosus,hsa_circ_0000291
105,0,Systemic lupus erythematosus,hsa_circ_0000326
106,0,Systemic lupus erythematosus,hsa_circ_0001539
107,0,Systemic lupus erythematosus,hsa_circ_0092330
108,0,Multiple sclerosis,hsa_circ_0003159
109,0,Multiple sclerosis,hsa_circ_0001017
110,0,Thoracic aortic dissection,hsa_circ_0091742
111,0,Thoracic aortic dissection,hsa_circ_0003707
112,0,Multiple sclerosis,hsa_circ_0035431
113,0,Multiple sclerosis,hsa_circ_0005927
114,0,Multiple sclerosis,hsa_circ_0076304
115,0,Multiple sclerosis,hsa_circ_0000026
116,0,Multiple sclerosis,hsa_circ_0061274
117,0,Multiple sclerosis,hsa_circ_0005529
118,0,Multiple sclerosis,hsa_circ_0006127
119,0,Systemic lupus erythematosus,hsa_circ_0003159
