,label,Disease Name,circBase ID
0,0,Infantile hemangioma,hsa_circ_0000627
1,0,Infantile hemangioma,hsa_circ_0003707
2,0,Gastric cancer,hsa_circ_0006935
3,0,Infantile hemangioma,hsa_circ_0000140
4,0,Infantile hemangioma,hsa_circ_0092330
5,0,Gastric cancer,hsa_circ_0087862
6,0,Gastric cancer,hsa_circ_0044353
7,0,Infantile hemangioma,hsa_circ_0128843
8,0,Infantile hemangioma,hsa_circ_0006127
9,0,Infantile hemangioma,hsa_circ_0000745
10,0,Infantile hemangioma,hsa_circ_0000026
11,0,Infantile hemangioma,hsa_circ_0076304
12,0,Infantile hemangioma,hsa_circ_0092283
13,0,Infantile hemangioma,hsa_circ_0035431
14,0,Infantile hemangioma,hsa_circ_0000181
15,0,Infantile hemangioma,hsa_circ_0031027
16,0,Infantile hemangioma,hsa_circ_0008383
17,0,Infantile hemangioma,hsa_circ_0076305
18,0,Infantile hemangioma,hsa_circ_0013048
19,0,Gastric cancer,hsa_circ_0079385
20,0,Gastric cancer,hsa_circ_0023984
21,0,Gastric cancer,hsa_circ_0003258
22,0,Gastric cancer,hsa_circ_0051239
23,0,Gastric cancer,hsa_circ_0043138
24,0,Infantile hemangioma,hsa_circ_0000190
25,0,Infantile hemangioma,hsa_circ_0001895
26,0,Infantile hemangioma,hsa_circ_0006633
27,0,Infantile hemangioma,hsa_circ_0000291
28,0,Infantile hemangioma,hsa_circ_0138960
29,0,Gastric cancer,hsa_circ_0070616
30,0,Repeated implantation failure,hsa_circ_0005529
31,0,Gastric cancer,hsa_circ_0000673
32,0,Lupus nephritis,hsa_circ_0092283
33,0,Lupus nephritis,hsa_circ_0031027
34,0,Lupus nephritis,hsa_circ_0013048
35,0,Repeated implantation failure,hsa_circ_0128843
36,0,Repeated implantation failure,hsa_circ_0047905
37,0,Repeated implantation failure,hsa_circ_0138960
38,0,Lupus nephritis,hsa_circ_0000291
39,0,Lupus nephritis,hsa_circ_0008383
40,0,Repeated implantation failure,hsa_circ_0001561
41,0,Repeated implantation failure,hsa_circ_0092341
42,0,Lupus nephritis,hsa_circ_0138960
43,0,Lupus nephritis,hsa_circ_0047905
44,0,Repeated implantation failure,hsa_circ_0013048
45,0,Repeated implantation failure,hsa_circ_0031027
46,0,Repeated implantation failure,hsa_circ_0008383
47,0,Lupus nephritis,hsa_circ_0128843
48,0,Lupus nephritis,hsa_circ_0000326
49,0,Lupus nephritis,hsa_circ_0092330
50,0,Repeated implantation failure,hsa_circ_0001895
51,0,Repeated implantation failure,hsa_circ_0000190
52,0,Ovarian endometriosis,hsa_circ_0138960
53,0,Ovarian endometriosis,hsa_circ_0008383
54,0,Infantile hemangioma,hsa_circ_0001561
55,0,Ovarian endometriosis,hsa_circ_0031027
56,0,Lupus nephritis,hsa_circ_0001539
57,0,Ovarian endometriosis,hsa_circ_0092283
58,0,Ovarian endometriosis,hsa_circ_0000326
59,0,Ovarian endometriosis,hsa_circ_0001539
60,0,Ovarian endometriosis,hsa_circ_0092330
61,0,Ovarian endometriosis,hsa_circ_0000627
62,0,Repeated implantation failure,hsa_circ_0000140
63,0,Lupus nephritis,hsa_circ_0000627
64,0,Ovarian endometriosis,hsa_circ_0000291
65,0,Ovarian endometriosis,hsa_circ_0000144
66,0,Ovarian endometriosis,hsa_circ_0032821
67,0,Repeated implantation failure,hsa_circ_0092283
68,0,Lupus nephritis,hsa_circ_0091742
69,0,Lupus nephritis,hsa_circ_0058246
70,0,Lupus nephritis,hsa_circ_0006633
71,0,Lupus nephritis,hsa_circ_0076305
72,0,Lupus nephritis,hsa_circ_0035431
73,0,Lupus nephritis,hsa_circ_0076304
74,0,Lupus nephritis,hsa_circ_0089548
75,0,Lupus nephritis,hsa_circ_0000026
76,0,Lupus nephritis,hsa_circ_0000745
77,0,Lupus nephritis,hsa_circ_0000181
78,0,Repeated implantation failure,hsa_circ_0000144
79,0,Repeated implantation failure,hsa_circ_0005927
80,0,Repeated implantation failure,hsa_circ_0032821
81,0,Repeated implantation failure,hsa_circ_0061274
82,0,Lupus nephritis,hsa_circ_0006127
83,0,Lupus nephritis,hsa_circ_0003707
84,0,Lupus nephritis,hsa_circ_0085553
85,0,Lupus nephritis,hsa_circ_0006022
86,0,Repeated implantation failure,hsa_circ_0000291
87,0,Ovarian endometriosis,hsa_circ_0005529
88,0,Ovarian endometriosis,hsa_circ_0061274
89,0,Ovarian endometriosis,hsa_circ_0005927
90,0,Ovarian endometriosis,hsa_circ_0092341
91,0,Ovarian endometriosis,hsa_circ_0001561
92,0,Repeated implantation failure,hsa_circ_0000326
93,0,Repeated implantation failure,hsa_circ_0001539
94,0,Repeated implantation failure,hsa_circ_0092330
95,0,Lupus nephritis,hsa_circ_0000140
96,0,Repeated implantation failure,hsa_circ_0000627
97,0,Lupus nephritis,hsa_circ_0000190
98,0,Lupus nephritis,hsa_circ_0001895
